[inf] 2018-04-18 19:32:50 | App connected with redis server
[dbg] 2018-04-18 19:32:52 | Applying unconfirmed transaction - 13183944049761782378
[dbg] 2018-04-18 19:32:52 | Applying confirmed transaction - 13183944049761782378
[dbg] 2018-04-18 19:32:52 | Applying unconfirmed transaction - 18170750958952123906
[dbg] 2018-04-18 19:32:52 | Applying confirmed transaction - 18170750958952123906
[dbg] 2018-04-18 19:32:52 | Applying unconfirmed transaction - 1541742583934479024
[dbg] 2018-04-18 19:32:52 | Applying confirmed transaction - 1541742583934479024
[dbg] 2018-04-18 19:32:52 | Applying unconfirmed transaction - 2686402281873159900
[dbg] 2018-04-18 19:32:52 | Applying confirmed transaction - 2686402281873159900
[dbg] 2018-04-18 19:32:52 | Applying unconfirmed transaction - 647088884601375181
[dbg] 2018-04-18 19:32:52 | Applying confirmed transaction - 647088884601375181
[dbg] 2018-04-18 19:32:52 | Applying unconfirmed transaction - 7516997690138036999
[dbg] 2018-04-18 19:32:52 | Applying confirmed transaction - 7516997690138036999
[dbg] 2018-04-18 19:32:52 | Applying unconfirmed transaction - 4469291089497313611
[dbg] 2018-04-18 19:32:52 | Applying confirmed transaction - 4469291089497313611
[dbg] 2018-04-18 19:32:52 | Applying unconfirmed transaction - 9580456504832959511
[dbg] 2018-04-18 19:32:52 | Applying confirmed transaction - 9580456504832959511
[dbg] 2018-04-18 19:32:52 | Applying unconfirmed transaction - 7323763382004754793
[dbg] 2018-04-18 19:32:52 | Applying confirmed transaction - 7323763382004754793
[dbg] 2018-04-18 19:32:52 | Applying unconfirmed transaction - 10088254256633508302
[dbg] 2018-04-18 19:32:52 | Applying confirmed transaction - 10088254256633508302
[dbg] 2018-04-18 19:32:52 | Applying unconfirmed transaction - 5204973681544083183
[dbg] 2018-04-18 19:32:52 | Applying confirmed transaction - 5204973681544083183
[dbg] 2018-04-18 19:32:52 | Applying unconfirmed transaction - 893502430756502238
[dbg] 2018-04-18 19:32:52 | Applying confirmed transaction - 893502430756502238
[dbg] 2018-04-18 19:32:52 | Applying unconfirmed transaction - 10736921576019973511
[dbg] 2018-04-18 19:32:52 | Applying confirmed transaction - 10736921576019973511
[dbg] 2018-04-18 19:32:52 | Applying unconfirmed transaction - 2332204335778210906
[dbg] 2018-04-18 19:32:52 | Applying confirmed transaction - 2332204335778210906
[dbg] 2018-04-18 19:32:52 | Applying unconfirmed transaction - 15418762109496460082
[dbg] 2018-04-18 19:32:52 | Applying confirmed transaction - 15418762109496460082
[dbg] 2018-04-18 19:32:52 | Applying unconfirmed transaction - 15566395369896541134
[dbg] 2018-04-18 19:32:52 | Applying confirmed transaction - 15566395369896541134
[dbg] 2018-04-18 19:32:52 | Applying unconfirmed transaction - 16519624618010229976
[dbg] 2018-04-18 19:32:52 | Applying confirmed transaction - 16519624618010229976
[dbg] 2018-04-18 19:32:52 | Applying unconfirmed transaction - 12730372088039575856
[dbg] 2018-04-18 19:32:52 | Applying confirmed transaction - 12730372088039575856
[dbg] 2018-04-18 19:32:52 | Applying unconfirmed transaction - 17510238090310560845
[dbg] 2018-04-18 19:32:52 | Applying confirmed transaction - 17510238090310560845
[dbg] 2018-04-18 19:32:52 | Applying unconfirmed transaction - 14042300634287687562
[dbg] 2018-04-18 19:32:52 | Applying confirmed transaction - 14042300634287687562
[log] 2018-04-18 19:32:52 | GET /api/blocks/getHeight from 127.0.0.1
[dbg] 2018-04-18 19:32:52 | Applying unconfirmed transaction - 10888616143024463189
[dbg] 2018-04-18 19:32:52 | Applying confirmed transaction - 10888616143024463189
[dbg] 2018-04-18 19:32:52 | Applying unconfirmed transaction - 13039599722243082439
[dbg] 2018-04-18 19:32:52 | Applying confirmed transaction - 13039599722243082439
[dbg] 2018-04-18 19:32:52 | Applying unconfirmed transaction - 11144005267857096664
[dbg] 2018-04-18 19:32:52 | Applying confirmed transaction - 11144005267857096664
[dbg] 2018-04-18 19:32:52 | Applying unconfirmed transaction - 13434260996115451119
[dbg] 2018-04-18 19:32:52 | Applying confirmed transaction - 13434260996115451119
[dbg] 2018-04-18 19:32:52 | Applying unconfirmed transaction - 5648920704789894680
[dbg] 2018-04-18 19:32:52 | Applying confirmed transaction - 5648920704789894680
[dbg] 2018-04-18 19:32:52 | Applying unconfirmed transaction - 11854964979100812712
[dbg] 2018-04-18 19:32:52 | Applying confirmed transaction - 11854964979100812712
[dbg] 2018-04-18 19:32:52 | Applying unconfirmed transaction - 3910198752317261099
[dbg] 2018-04-18 19:32:52 | Applying confirmed transaction - 3910198752317261099
[dbg] 2018-04-18 19:32:52 | Applying unconfirmed transaction - 1616502760072872737
[dbg] 2018-04-18 19:32:52 | Applying confirmed transaction - 1616502760072872737
[dbg] 2018-04-18 19:32:52 | Applying unconfirmed transaction - 10056999418592596507
[dbg] 2018-04-18 19:32:52 | Applying confirmed transaction - 10056999418592596507
[dbg] 2018-04-18 19:32:52 | Applying unconfirmed transaction - 11632856781569458608
[dbg] 2018-04-18 19:32:52 | Applying confirmed transaction - 11632856781569458608
[dbg] 2018-04-18 19:32:52 | Applying unconfirmed transaction - 5413129167290828805
[dbg] 2018-04-18 19:32:52 | Applying confirmed transaction - 5413129167290828805
[dbg] 2018-04-18 19:32:52 | Applying unconfirmed transaction - 17413014038614139498
[dbg] 2018-04-18 19:32:52 | Applying confirmed transaction - 17413014038614139498
[dbg] 2018-04-18 19:32:53 | Applying unconfirmed transaction - 18374193651576287313
[dbg] 2018-04-18 19:32:53 | Applying confirmed transaction - 18374193651576287313
[dbg] 2018-04-18 19:32:53 | Applying unconfirmed transaction - 11913328312305225441
[dbg] 2018-04-18 19:32:53 | Applying confirmed transaction - 11913328312305225441
[dbg] 2018-04-18 19:32:53 | Applying unconfirmed transaction - 276174286100158136
[dbg] 2018-04-18 19:32:53 | Applying confirmed transaction - 276174286100158136
[dbg] 2018-04-18 19:32:53 | Applying unconfirmed transaction - 13078159093193339345
[dbg] 2018-04-18 19:32:53 | Applying confirmed transaction - 13078159093193339345
[dbg] 2018-04-18 19:32:53 | Applying unconfirmed transaction - 17375551333518147663
[dbg] 2018-04-18 19:32:53 | Applying confirmed transaction - 17375551333518147663
[dbg] 2018-04-18 19:32:53 | Applying unconfirmed transaction - 17945922992672538896
[dbg] 2018-04-18 19:32:53 | Applying confirmed transaction - 17945922992672538896
[dbg] 2018-04-18 19:32:53 | Applying unconfirmed transaction - 13634290040197807927
[dbg] 2018-04-18 19:32:53 | Applying confirmed transaction - 13634290040197807927
[dbg] 2018-04-18 19:32:53 | Applying unconfirmed transaction - 7924244352129984797
[inf] 2018-04-18 19:32:53 | Genesis block loading - 98.06 %: applied 101 of 103 transactions
[dbg] 2018-04-18 19:32:53 | Applying confirmed transaction - 7924244352129984797
[dbg] 2018-04-18 19:32:53 | Applying unconfirmed transaction - 16948737372132985845
[dbg] 2018-04-18 19:32:53 | Applying confirmed transaction - 16948737372132985845
[dbg] 2018-04-18 19:32:53 | Applying unconfirmed transaction - 8523650329025498523
[inf] 2018-04-18 19:32:53 | Genesis block loading - 100.0 %: applied 103 of 103 transactions
[dbg] 2018-04-18 19:32:53 | Applying confirmed transaction - 8523650329025498523
[dbg] 2018-04-18 19:32:53 | Summing round - 1
[dbg] 2018-04-18 19:32:53 | Performing forward tick
[dbg] 2018-04-18 19:32:53 | keys with pattern:  /api/delegates* cleared from cache new Round
[inf] 2018-04-18 19:32:53 | Blockchain ready
[inf] 2018-04-18 19:32:53 | Loading 101 delegates from config
[log] 2018-04-18 19:32:53 | GET /api/accounts?address=2220672660234043359S from 127.0.0.1
[inf] 2018-04-18 19:32:53 | Imported peers from database - {"count":0}
[ERR] 2018-04-18 19:32:53 | Failed to load delegates - Account with public key: a37467c4d5eeeb50e7c2320344123aa1999186418dc95bfbeb6b286338a7fc00 not found
[dbg] 2018-04-18 19:32:53 | No delegates enabled
[inf] 2018-04-18 19:32:53 | Loading 101 delegates from config
[dbg] 2018-04-18 19:32:53 | Listing peers - {"attempt":"matched broadhash","found":0,"matched":0,"picked":0,"accepted":0}
[dbg] 2018-04-18 19:32:53 | Listing peers - {"attempt":"unmatched broadhash","found":0,"matched":0,"picked":0,"accepted":0}
[dbg] 2018-04-18 19:32:53 | Listing 0 total peers
[dbg] 2018-04-18 19:32:53 | Listing peers - {"attempt":"matched broadhash","found":0,"matched":0,"picked":0,"accepted":0}
[dbg] 2018-04-18 19:32:53 | Listing peers - {"attempt":"matched broadhash","found":0,"matched":0,"picked":0,"accepted":0}
[log] 2018-04-18 19:32:53 | GET /api/multisignatures/accounts?publicKey=d2be716f2567c473437d925df05959c09819581b190a5eb97c99685c78ae8ea1 from 127.0.0.1
[dbg] 2018-04-18 19:32:53 | Listing peers - {"attempt":"unmatched broadhash","found":0,"matched":0,"picked":0,"accepted":0}
[inf] 2018-04-18 19:32:53 | Starting sync
[dbg] 2018-04-18 19:32:53 | Undoing unconfirmed transactions before sync
[dbg] 2018-04-18 19:32:53 | Listing peers - {"attempt":"unmatched broadhash","found":0,"matched":0,"picked":0,"accepted":0}
[dbg] 2018-04-18 19:32:53 | Listing 0 total peers
[dbg] 2018-04-18 19:32:53 | Establishing broadhash consensus before sync
[dbg] 2018-04-18 19:32:53 | Listing 0 total peers
[dbg] 2018-04-18 19:32:53 | Listing peers - {"attempt":"matched broadhash","found":0,"matched":0,"picked":0,"accepted":0}
[log] 2018-04-18 19:32:53 | GET /api/dapps/categories from 127.0.0.1
[dbg] 2018-04-18 19:32:53 | Listing peers - {"attempt":"unmatched broadhash","found":0,"matched":0,"picked":0,"accepted":0}
[dbg] 2018-04-18 19:32:53 | Listing 0 total peers
[dbg] 2018-04-18 19:32:53 | Listing peers - {"attempt":"matched broadhash","found":0,"matched":0,"picked":0,"accepted":0}
[dbg] 2018-04-18 19:32:53 | Listing peers - {"attempt":"matched broadhash","found":0,"matched":0,"picked":0,"accepted":0}
[dbg] 2018-04-18 19:32:53 | Listing peers - {"attempt":"unmatched broadhash","found":0,"matched":0,"picked":0,"accepted":0}
[dbg] 2018-04-18 19:32:53 | Listing peers - {"attempt":"unmatched broadhash","found":0,"matched":0,"picked":0,"accepted":0}
[dbg] 2018-04-18 19:32:53 | Listing 0 total peers
[dbg] 2018-04-18 19:32:53 | Listing 0 total peers
[inf] 2018-04-18 19:32:53 | Finished sync
[log] 2018-04-18 19:32:53 | GET /api/multisignatures/pending?publicKey=d2be716f2567c473437d925df05959c09819581b190a5eb97c99685c78ae8ea1 from 127.0.0.1
[inf] 2018-04-18 19:32:53 | Starting sync
[dbg] 2018-04-18 19:32:53 | Undoing unconfirmed transactions before sync
[dbg] 2018-04-18 19:32:53 | Listing peers - {"attempt":"matched broadhash","found":0,"matched":0,"picked":0,"accepted":0}
[dbg] 2018-04-18 19:32:53 | Establishing broadhash consensus before sync
[dbg] 2018-04-18 19:32:53 | Listing peers - {"attempt":"matched broadhash","found":0,"matched":0,"picked":0,"accepted":0}
[dbg] 2018-04-18 19:32:53 | Listing peers - {"attempt":"unmatched broadhash","found":0,"matched":0,"picked":0,"accepted":0}
[dbg] 2018-04-18 19:32:53 | Listing 0 total peers
[dbg] 2018-04-18 19:32:53 | Listing peers - {"attempt":"unmatched broadhash","found":0,"matched":0,"picked":0,"accepted":0}
[dbg] 2018-04-18 19:32:53 | Listing 0 total peers
[dbg] 2018-04-18 19:32:53 | Listing peers - {"attempt":"matched broadhash","found":0,"matched":0,"picked":0,"accepted":0}
[dbg] 2018-04-18 19:32:53 | Listing peers - {"attempt":"unmatched broadhash","found":0,"matched":0,"picked":0,"accepted":0}
[dbg] 2018-04-18 19:32:53 | Listing 0 total peers
[inf] 2018-04-18 19:32:53 | Finished sync
[dbg] 2018-04-18 19:32:53 | Listing peers - {"attempt":"matched broadhash","found":0,"matched":0,"picked":0,"accepted":0}
[dbg] 2018-04-18 19:32:53 | Listing peers - {"attempt":"unmatched broadhash","found":0,"matched":0,"picked":0,"accepted":0}
[inf] 2018-04-18 19:32:53 | Starting sync
[dbg] 2018-04-18 19:32:53 | Undoing unconfirmed transactions before sync
[dbg] 2018-04-18 19:32:53 | Listing 0 total peers
[dbg] 2018-04-18 19:32:53 | Establishing broadhash consensus before sync
[dbg] 2018-04-18 19:32:53 | Listing peers - {"attempt":"matched broadhash","found":0,"matched":0,"picked":0,"accepted":0}
[dbg] 2018-04-18 19:32:53 | Listing peers - {"attempt":"unmatched broadhash","found":0,"matched":0,"picked":0,"accepted":0}
[dbg] 2018-04-18 19:32:53 | Listing 0 total peers
[dbg] 2018-04-18 19:32:53 | Listing peers - {"attempt":"matched broadhash","found":0,"matched":0,"picked":0,"accepted":0}
[dbg] 2018-04-18 19:32:53 | Listing peers - {"attempt":"matched broadhash","found":0,"matched":0,"picked":0,"accepted":0}
[dbg] 2018-04-18 19:32:53 | Listing peers - {"attempt":"unmatched broadhash","found":0,"matched":0,"picked":0,"accepted":0}
[dbg] 2018-04-18 19:32:53 | Listing peers - {"attempt":"unmatched broadhash","found":0,"matched":0,"picked":0,"accepted":0}
[dbg] 2018-04-18 19:32:53 | Listing 0 total peers
[dbg] 2018-04-18 19:32:53 | Listing 0 total peers
[inf] 2018-04-18 19:32:53 | Finished sync
[log] 2018-04-18 19:32:53 | Unconfirmed transactions loader - Failed to find enough good peers
[inf] 2018-04-18 19:32:53 | Starting sync
[dbg] 2018-04-18 19:32:53 | Undoing unconfirmed transactions before sync
[dbg] 2018-04-18 19:32:53 | Listing peers - {"attempt":"matched broadhash","found":0,"matched":0,"picked":0,"accepted":0}
[dbg] 2018-04-18 19:32:53 | Establishing broadhash consensus before sync
[dbg] 2018-04-18 19:32:53 | Listing peers - {"attempt":"matched broadhash","found":0,"matched":0,"picked":0,"accepted":0}
